gene,rank,cancer_type,expression
TIGIT,27,Ovary Serous Cystadenocarcinoma (TCGA),1.36730888252149
TIGIT,28,Kidney Renal Papillary Cell Carcinoma (TCGA),1.2786716312056738
TIGIT,29,Ovary Serous Cystadenocarcinoma (validation),1.0752851851851852
TIGIT,30,Glioblastoma Multiforme (TCGA),0.47158297872340427
TIGIT,31,Kidney Chromophobe (TCGA),0.4400671875
LAG3,1,Testicular Germ Cell Tumor (TCGA),20.37355338345865
LAG3,2,Breast Invasive Carcinoma (validation),14.252916
LAG3,3,Skin Cuteneous Melanoma (TCGA),10.579216161616161
LAG3,4,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),10.076600353356891
LAG3,5,Kidney Renal Clear Cell Carcinoma (validation),9.018557
LAG3,6,Uterine Corpus Endometrial Carcinoma (TCGA),7.8003903409090904
LAG3,7,Kidney Renal Clear Cell Carcinoma (TCGA),7.280399232245681
LAG3,8,Head and Neck Squamous Cell Carcinoma (TCGA),6.842255081300814
LAG3,9,Stomach Adenocarcinoma (TCGA),6.250791907514451
LAG3,10,Bladder Urothelial Carcinoma (TCGA),5.822778106508876
LAG3,11,Lung Adenocarcinoma (TCGA),5.76071569416499
LAG3,12,Liver Hepatocellular Carcinoma (validation),5.5709805194805195
LAG3,13,Lung Squamous Cell Carcinoma (TCGA),5.211969325153373
LAG3,14,Ovary Serous Cystadenocarcinoma (TCGA),4.186194842406877
LAG3,15,Lung Squamous Cell Carcinoma (validation),4.058960294117647
LAG3,16,Breast Invasive Carcinoma (TCGA),3.8931664383561646
LAG3,17,Ovary Serous Cystadenocarcinoma (validation),3.6699185185185184
LAG3,18,Lung Adenocarcinoma (validation),3.6581571428571427
LAG3,19,Colon Adenocarcinoma (validation),3.612436625514403
LAG3,20,Liver Hepatocellular Carcinoma (TCGA),2.4603613259668506
LAG3,21,Colon Adenocarcinoma (TCGA),2.4375905511811022
LAG3,22,Rectum Adenocarcinoma (validation),2.3641695652173915
LAG3,23,Kidney Renal Papillary Cell Carcinoma (TCGA),2.338501063829787
LAG3,24,Pancreatic Adenocarcinoma (TCGA),2.0372857954545456
LAG3,25,Thyroid Carcinoma (TCGA),1.8163442424242424
LAG3,26,Rectum Adenocarcinoma (TCGA),1.8066829545454546
LAG3,27,Prostate Adenocarcinoma (TCGA),1.5873052083333334
LAG3,28,Pancreatic Adenocarcinoma (validation),1.55869375
LAG3,29,Glioblastoma Multiforme (TCGA),0.9986312056737587
LAG3,30,Glioblastoma Multiforme (validation),0.9440362068965518
LAG3,31,Kidney Chromophobe (TCGA),0.517175
HAVCR2,1,Kidney Renal Clear Cell Carcinoma (validation),94.819534
HAVCR2,2,Glioblastoma Multiforme (validation),69.01008448275861
HAVCR2,3,Kidney Renal Clear Cell Carcinoma (TCGA),61.63331439539348
HAVCR2,4,Kidney Renal Papillary Cell Carcinoma (TCGA),43.91165957446808
HAVCR2,5,Glioblastoma Multiforme (TCGA),38.64791205673759
HAVCR2,6,Lung Adenocarcinoma (validation),32.80020476190476
HAVCR2,7,Breast Invasive Carcinoma (validation),30.35794
HAVCR2,8,Lung Squamous Cell Carcinoma (validation),26.276079411764705
HAVCR2,9,Lung Adenocarcinoma (TCGA),17.461554527162978
HAVCR2,10,Colon Adenocarcinoma (validation),14.97313024691358
HAVCR2,11,Testicular Germ Cell Tumor (TCGA),14.495564661654136
HAVCR2,12,Breast Invasive Carcinoma (TCGA),14.46275322896282
HAVCR2,13,Pancreatic Adenocarcinoma (TCGA),13.835224431818181
HAVCR2,14,Pancreatic Adenocarcinoma (validation),13.733702500000001
HAVCR2,15,Lung Squamous Cell Carcinoma (TCGA),12.55581308793456
HAVCR2,16,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),12.144928268551237
HAVCR2,17,Rectum Adenocarcinoma (validation),11.953116425120772
HAVCR2,18,Liver Hepatocellular Carcinoma (validation),11.407418181818182
HAVCR2,19,Bladder Urothelial Carcinoma (TCGA),9.668250887573965
HAVCR2,20,Uterine Corpus Endometrial Carcinoma (TCGA),9.601470454545455
HAVCR2,21,Stomach Adenocarcinoma (TCGA),9.47687514450867
HAVCR2,22,Head and Neck Squamous Cell Carcinoma (TCGA),8.938808943089432
HAVCR2,23,Ovary Serous Cystadenocarcinoma (TCGA),8.938607736389685
HAVCR2,24,Skin Cuteneous Melanoma (TCGA),7.677569696969696
HAVCR2,25,Kidney Chromophobe (TCGA),6.85228125
HAVCR2,26,Colon Adenocarcinoma (TCGA),6.530810236220472
HAVCR2,27,Thyroid Carcinoma (TCGA),5.771780808080808
HAVCR2,28,Ovary Serous Cystadenocarcinoma (validation),5.659453086419753
HAVCR2,29,Rectum Adenocarcinoma (TCGA),5.512868181818182
HAVCR2,30,Liver Hepatocellular Carcinoma (TCGA),4.322103591160221
HAVCR2,31,Prostate Adenocarcinoma (TCGA),3.790294375
TOX,1,Glioblastoma Multiforme (validation),27.015296551724138
TOX,2,Colon Adenocarcinoma (validation),9.486576131687242
TOX,3,Glioblastoma Multiforme (TCGA),8.140787943262412
TOX,4,Rectum Adenocarcinoma (validation),8.121716425120773
